id	alias	apt	attack_country	attack_means	attack_target	belong_country	create_time	creation_date	note	update_time	status
112	Budworm,Iron Tiger,TEMP.Hippo,Emissary Panda,APT 27,LuckyMouse,TG-3390,Threat Group-3390,ZipToken,Red Phoenix,Lucky Mouse,BRONZE UNION,EMISSARY PANDA,Group 35,熊猫使者	APT27		水坑攻击	航空航天|政府|国防|科技|能源、制造业、金融服务公司	中国	2022-04-27		Threat Group-3390 是一个中国威胁组，广泛使用战略Web折衷目标受害者。该组织至少自2010年以来一直很活跃，目标是航空航天、政府、国防、技术、能源和制造业等领域的组织.	2024-01-08	保留
115	IRON TWILIGHT,PawnStorm,TAG_0700,Grizzly Steppe,Threat Group-4127,Tsar Team,TG-4127,APT 28,TsarTeam,Pawn Storm,Fancy Bear,Swallowtail,Sofacy,Sednit,STRONTIUM,SIG40,SNAKEMACKEREL,apt_sofacy,Group-4127,Group 74,APT28,APT-C-20,Sofacy Group,TsarTeam,T-APT-12	奇幻熊	中国、美国	通过钓鱼邮件,鱼叉攻击,水坑攻击窃取并曝光秘密资料	针对美国政府，军队及安全机构以及各国政府机构窃取重要信息	俄罗斯	2022-04-27		APT28是一个威胁组织，被认为是俄罗斯总参谋部主要情报理事会(GRU)第85主要特别服务中心(GTsSS)军事单位26165的成员。这个组织至少从2004年就开始活跃了。\n据报道，APT28在2016年试图干预美国总统选举，损害了希拉里·克林顿竞选团队、民主党全国委员会和民主党国会竞选委员会的利益。2018年，美国起诉了与APT28有关的5名GRU 26165部队官员，他们在2014年至2018年期间对世界反兴奋剂机构(WADA)、美国反兴奋剂机构、美国一个核设施、禁止化学武器组织(OPCW)、斯皮兹瑞	2023-10-17	保留
118	duke,CozyDuke,Group100,GrizzlySteppe,NOBELIUM,YTTRIUM,OfficeMonkeys,CozyBear,Dukes,DarkHalo,HammerToss,Cozer,Minidionis,TheDukes,CozyBear,SeaDuke,UNC2452,CozyCar,EuroAPT,OfficeMonkeys,NobleBaron,StellarParticle,IronHemlock,SilverFish,apt_unc2452,APT29	舒适熊	中国、北约成员国	通过钓鱼邮件,鱼叉攻击,水坑攻击获取国家机密和相关政治利益	针对欧洲、北美、亚洲、非洲的多个地区和国家，主要攻击目标为包含美国、英国等在内的北约成员国以及欧洲地域邻近国家，具体攻击行业目标为政府实体、科研机构、智囊团、高技术企业、通信基础设施供应商等	俄罗斯	2022-04-27		APT29是一个被认为是俄罗斯对外情报局(SVR)的威胁组织。他们至少从2008年开始运作，经常针对欧洲和北约成员国的政府网络、研究机构和智库。据报道，APT29从2015年夏天开始损害了民主党全国委员会的利益。\n2021年4月，美国和英国政府将SolarWinds供应链破坏网络操作归咎于对外情报局;公开声明包括对APT29、Cozy Bear和The Dukes的引用。这场运动的受害者包括北美、欧洲、亚洲和中东的政府、咨询、技术、电信和其他组织。行业报道称参与这次活动的演员为UNC2452、NOBELI	2023-10-17	保留
121	Threat Group-0110,APT 3,Group 6,TG-0110,Buckeye,Gothic Panda,BRONZE MAYFAIR,Boyusec,BORON,UPS Team,UPS,Pirpi	APT3		钓鱼邮件	航空航天、防御、建筑、工程和政府机构	中国	2022-04-27	NULL	APT3是一个总部设在中国的威胁组织，研究人员认为是中国国家安全部所为。这个组织负责被称为秘密狐狸行动”、秘密狼行动”和双叩行动”的活动。截至2015年6月，该组织似乎已从主要针对美国受害者转向主要针对香港的政治组织。\n2017年，MITRE开发了APT3对手模拟计划。”	2022-04-27	保留
124	Hellsing,Lotus Panda,Naikon,APT 30,BRONZE GENEVA,PLA Unit 78020,Override Panda,Camerashy,APT.Naikon	APT30	东南亚、印度	钓鱼邮件	政治、军事、经济、领土纠纷和新闻媒体	中国	2022-04-27	NULL	APT 30是一个被怀疑与中国政府有关联的威胁组织。虽然Naikon和APT30有一些相同的特征，但这两组似乎并不完全匹配。	2022-04-27	保留
127	ZIRCONIUM,JUDGMENT PANDA,BRONZE VINEWOOD	APT31				中国	2022-04-27	NULL	FireEye将APT31描述为专门从事知识产权盗窃的机构，专注于使特定组织在其领域具有竞争力的数据和项目。根据现有数据(2016年4月)，火眼评估APT31在中国政府的要求下进行网络运营。Crowdstrike还表示，该对手涉嫌继续攻击上游供应商(如律师事务所和管理服务提供商)，以支持针对知名资产的额外入侵。2018年，CrowdStrike发现这个对手使用鱼叉式网络钓鱼、URL网络漏洞”和计划任务来自动获取证书。	2022-04-27	保留
130	APT32,OceanLotus,Cobalt Kitty,POND LOACH,Ocean Buffalo,SeaLotus,BISMUTH,APT 32,TIN WOODLAWN,APT-32,OceanLotus Group,APT-C-00,Ocean Lotus,Sea Lotus,OCEANLOTUSAPT,APT-Q-31	海莲花	柬埔寨、老挝、菲律宾、中国、沙特、巴基斯坦、越南、美国、韩国	通过水坑攻击，钓鱼邮件，鱼叉攻击实施符合越南国家利益的有针对性的操作	针对中国政府、海事机构、海域建设部门、科研院所和航运企业,展开了精密组织的网络攻击	越南	2022-04-27		APT32被怀疑是一个总部位于越南的威胁组织，至少从2014年以来一直很活跃。该组织针对多个私营行业以及外国政府、持不同政见者和记者，特别关注越南、菲律宾、老挝和柬埔寨等东南亚国家。他们广泛地使用策略性的网络妥协来伤害受害者。\n网络间谍，现在被FireEye指定为APT32 (OceanLotus Group)，正在对多个行业的私营企业进行入侵，也针对外国政府、持不同政见者和记者。FireEye评估APT32利用一套独特的全功能恶意软件，与商业工具结合，实施符合越南国家利益的有针对性的操作。”	2023-10-17	保留
133	MAGNALLIUM,Refined Kitten,COBALT TRINITY,HOLMIUM,APT 33,Shamoon,Elfin,PeachSandstorm	APT33	中国、美国、沙特阿拉伯、韩国	通过钓鱼邮件,鱼叉攻击针对工业机构的IT网络进行信息收集活动	针对美国、沙特阿拉伯和韩国的多个行业组织，涉及军事和商业能力的航空部门组织进行攻击	伊朗	2022-04-27		APT33被怀疑是伊朗的一个威胁组织，至少从2013年起就开始实施行动。该组织针对的是美国、沙特阿拉伯和韩国多个行业的组织，其中对航空和能源行业尤为感兴趣。.	2024-02-06	保留
136	COBALT GYPSY,Twisted Kitten,Helix Kitten,IRN2,HELIX KITTEN,OilRig,Crambus,APT 34,Cobalt Gypsy,Greenbug,Chrysene,Shamoon 2,PIPEFISH,APT-Q-57	APT34	中国、美国、中东、亚洲	通过钓鱼邮件,渗透攻击,供应链攻击窃取信息攻击目标	针对美国、中东及亚洲的某些国家发起了多次攻击，攻击目标为政府、金融、能源、电信等行业	伊朗	2022-04-27		OilRig是一个伊朗威胁组织，主要在中东地区运营，其目标是该地区不同行业的组织;然而，该组织偶尔也会针对中东以外的组织。OilRig还实施了供应链攻击，威胁集团利用组织之间的信任关系来攻击他们的主要目标。OilRig是一个活跃而有组织的威胁组织，这很明显，因为他们有系统地针对特定的组织，而这些组织似乎是出于战略目的而精心挑选的。这类攻击主要依靠社会工程来利用人而不是软件的漏洞;然而，这个组织有时会在他们的攻击的交付阶段使用最近修补过的漏洞。由于OilRig公司在其他方面的运营已经显示出了成熟，因此软件漏	2023-10-17	保留
139	TG-2889,OperationCleaver,TEMP.Beanie,2889,TarhAndishan,Alibaba,COBALTILLUSION,Rocket_Kitten,Phosphorus,CuttingKitten,Newscaster,Group41,NewscasterTeam,ITG18,APT35,TA453,CobaltGypsy,CharmingKitten,Ghambar,MagicHound,Cleaver,Parastoo,iKittens,APT-Q-55	APT35	中国、美国、中东	通过钓鱼攻击,网站渗透开展长期、资源密集型行动以收集战略情报	针对美国和中东的军事、外交和政府人员、媒体组织、能源、商业服务和电信部门进行攻击	伊朗	2022-04-27		Cleaver”是一个由伊朗演员组成的威胁组织，其活动被追踪为Cleaver行动”。强有力的间接证据表明，Cleaver与2889威胁组(TG-2889)有关。	2023-10-17	保留
142	TranGroup,TransparentAPT,Transparent,APT36,Mythic Leopard,ProjectM,Transparent Tribe,C-Major,Green Havildar,TMP.Lapis,COPPER FIELDSTONE,APT 36,Operation C-Major,TransparentTribe,apt_transparenttribe	透明部落	中国、印度	主要攻击手段是通过鱼叉式钓鱼邮件发起攻击	对印度政府、军事、金融等目标发起攻击	巴基斯坦	2022-04-27		该组织针对印度军队或在印度的相关资产，以及巴基斯坦的活动人士和公民社会。TrendMicro等人认为这与巴基斯坦有关	2023-10-17	保留
145	APT 37,Reaper Group,Reaper,Ricochet Chollima,Group123,Red Eyes,Venus 121,Operation Daybreak,Operation Erebus,InkySquid,Group 123,ScarCruft,APT-C-28,APT-S-008,Geumseong121,TEMP.Reaper,sun team,APT-Q-3,apt_37	APT37	中国、韩国	通过钓鱼邮件,社工攻击,鱼叉攻击,水坑攻击收集情报，以支持朝鲜的军事、政治和经济利益	针对韩国的汽车制造，化学生产，航空航天等相关的行业发起攻击	朝鲜	2022-04-27		APT37可能至少自2012年以来一直很活跃，主要针对韩国的公共和私营部门。2017年，APT37将目标扩大到朝鲜半岛以外的日本、越南和中东地区，并扩展到更广泛的垂直行业，包括化工、电子、制造、航空航天、汽车和医疗保健实体	2023-10-17	保留
148	TEMP.Hermit,Hermit,Alluring Pisces	APT38	中国、俄罗斯、韩国、日本	通过水坑攻击，常使用破坏性的恶意软件实施金融犯罪，从全球银行窃取美元	针对俄罗斯、韩国、日本及部分欧美国家的金融机构实施金融犯罪，入侵盗取美元并在事后彻底摧毁受攻击的机器	朝鲜	2022-04-27		APT38由国外安全厂商Fireeye在2018年10月命名，该组织疑似背后有朝鲜政权进行支持。目标是金融机构，窃取钱财。以支持朝鲜武器研发。 其从2014年起，APT38针对至少13个国家16个组织实施攻击活动。其主要攻击银行的SWIFT系统并拦截交易来窃取在线资金。APT38在受害者的网络中存活平均达到155天，最长时间长达两年。并且在金融机构窃取超过11亿美元。	2024-09-13	保留
151	ITG07,COBALT HICKMAN,Chafer,REMIX KITTEN	APT39	中国、伊朗	通过钓鱼邮件广泛窃取个人信息为支持伊朗国家优先事项提供监控、跟踪	针对伊朗不同政见的机构、公司和个人，包括电信行业旅游业和其他高科技IT公司	伊朗	2022-04-27		创建APT39是为了将这个参与者使用的以前的活动和方法集合在一起，并且它的活动很大程度上与一个公开称为Chafer”的组保持一致。然而，由于组织跟踪活动的方式不同，公开报告的内容也有所不同。APT39主要利用了SEAWEED和CACHEMONEY后门，以及POWBAT后门的一种特定变体。虽然APT39的目标范围是全球性的，但其活动主要集中在中东地区。APT39将电信行业列为优先发展领域，并将旅游业和支持IT和高科技产业的IT公司列为重点发展领域	2023-10-17	保留
154	MUDCARP,APT 40,GADOLINIUM,Gadolinium,TEMP.Periscope,Leviathan,Kryptonite Panda,TEMP.Jumper,BRONZE MOHAWK	APT40				中国	2022-04-27		Leviathan 是一名间谍，目标是国防和政府的组织和高价值目标。至少从2014年开始，该参与者对美国和西欧的海事行业、海军国防承包商和相关研究机构有着长期的兴趣	2024-01-04	保留
157	WICKED PANDA,BARIUM,Winnti Group,APT 41,LEAD,WICKED SPIDER,Group 72,Red Kelpie,Suckfly,Blackfly,BRONZE ATLAS,Group72,BRONZE EXPORT,Winnti Umbrella,Axiom,Winnti,espionage,apt_barium,APT4	APT41	中国、法国、印度、朝鲜、南非、新西兰、泰国	APT41 经常使用带有恶意附件的网络钓鱼电子邮件作为初始感染媒介	攻击组织的目标是世界各地的组织，如旅游、电信、医疗保健、新闻和教育。	中国	2022-04-27		研究人员认为，APT41是一个受到中国政府支持的间谍组织，其活动也有经济动机。APT41至少从2012年开始活跃，已被观察到针对14个国家的医疗保健、电信、技术和视频游戏行业。APT41与bararium和Winnti Group等集团的公开报道至少有部分重叠。	2023-10-17	保留
160	BRONZE FLEETWOOD,MANGANESE	APT5	东南亚	钓鱼邮件	电信、科技、国防		2022-04-27	NULL	我们观察到一个APT集团，我们称之为APT5，特别关注电信和技术公司。我们所观察到的被APT5盯上或破坏的组织中，有一半以上都在这些领域运作。APT5多次瞄准东南亚的组织和人员。APT5至少从2007年开始活跃。它似乎是一个巨大的威胁集团，由几个子集团组成，通常具有不同的战术和基础设施。APT5针对或侵入了多个行业的组织，但它的重点似乎是电信和技术公司，特别是有关卫星通信的信息。APT5的目标是一家销售工业和军事应用产品的电子公司的网络。该组织随后窃取了该公司与一个国家军方的商业关系相关的信息，包括他们提	2022-04-27	保留
163		APT6	美国	钓鱼邮件	政府	中国	2022-04-27	NULL	美国联邦调查局发布了一份罕见的公告，承认一个名为高级持续威胁6”(APT6)的组织早在2011年就侵入了美国政府的计算机系统，多年来窃取了敏感数据。联邦调查局于今年2月发布了这一警报，但基本上没有引起注意。近一个月过去了，安全专家现在开始关注这起袭击事件背后的警报和神秘组织。这是一个罕见的警报和有点晚,但一个所有安全厂商的欢迎,因为它提供了一个机会来减轻他们的客户也在什么似乎是一个正在进行的进一步合作联邦调查局调查,深化德赛说,安全公司安全主任Zscaler Threatpost在一封电子邮件。有关实际攻	2022-04-27	保留
166	Flowerlady/Flowershow,Flowerlady,Flowershow,APT 9,Nightshade Panda	APT9				中国	2022-04-27	NULL	一个针对媒体行业、非政府组织和大学的APT组织，主要通过钓鱼邮件投递PlugX和Poison Ivy	2022-04-27	保留
169	Fallout Team,Luder,Shadow Crane,TUNGSTEN BRIDGE,DUBNIUM,DarkHotel,Nemim,Tapaoux,T-APT-02,Pioneer,SIG25,Karba,Nemin,APT-C-06,DarkHotel,Inexsmar,APT-Q-10,寄生兽	黑店	韩国、中国、日本、缅甸、俄罗斯、美国	以针对性的鱼叉式间谍软件和恶意软件传播活动实施网络间谍攻击	针对韩国、中国、日本、缅甸、俄罗斯和美国企业高管、政府机构、国防工业、电子工业等重要机构实施网络间谍攻击	朝鲜	2022-04-27		Darkhotel是一个疑似来自韩国的威胁组织，至少从2004年开始，该组织的目标主要是东亚地区。该组织的名称来源于通过酒店网络对旅行高管和其他精选客人进行的网络间谍活动。Darkhotel还通过点对点和文件共享网络进行了钓鱼活动，并感染了受害者。	2023-10-17	保留
172	APT-C-08,BITTER,apt_bitter,苦象	蔓灵花	巴基斯坦、中国	通过漏洞攻击,鱼叉攻击针对特定目标进行长期的持续性网络攻击	主要针对巴基斯坦、中国两国，其攻击目标为政府部门、电力、军工业相关单位，意图窃取敏感资料	印度	2022-04-27		BITTER最早由国外安全厂商Forcepoint在2016年命名，该组织至少从2013年11月以来就开始活跃。最开始使用鱼叉钓鱼网络电子邮件，并通过Office漏洞CVE-21012-0158进行RAT的落地执行。主要目标针对于巴基斯坦的政府部门。 2016年11月，奇虎360公司在国内捕获到蔓灵花样本，受影响单位主要是涉及政府、电力和工业相关单位。 2018年11月，奇安信威胁情报中心在2018年12月首次发现该组织使用CVE-2017-12824 InPage漏洞，目标针对乌尔都语使用者，并与Con	2024-10-21	保留
175	白象,Dropping Elephant,Chinastrats,MONSOON,Sarit,Hangover Group,APT-C-09,Monsoon,Patchwork,ZINC EMERSON,Operation Hangover,Quilted Tiger,APT-Q-36,摩诃草,白象,丰收行动,Hangover,VICEROY TIGER,The Dropping Elephant,apt_patchwork	摩诃草	中国、巴基斯坦	通过鱼叉式网络钓鱼或水坑式攻击进行网络间谍活动	针对中国、巴基斯坦和其他欧美国家，主要针对政府机构、科研教育领域进行攻击，其中以科研教育领域为主	印度	2022-04-27		drop Elephant(也被称为Chinastrats”和Patchwork”)是一个相对较新的威胁行动者，它使用一套自定义的攻击工具，针对各种高调的外交和经济目标。其受害者都以某种方式与中国的外交关系有关，通常是通过鱼叉式网络钓鱼或水坑式攻击被抓住的。	2023-10-17	保留
178	Sapphire Mushroom,Sapphire Mushroom.APT-C-12,Blue Mushroom,NuclearCrisis,核危机	蓝宝菇	中国	通过鱼叉攻击,内网渗透对中国进行持续的网络间谍活动	针对中国政府、军工、科研、金融等重点单位和部门进行间谍活动，主要关注核工业和科研等相关信息	中国	2022-04-27		2011年以来，APT-C-12组织一直在中国政府、军工、科研和金融等重点单位和部门进行网络间谍活动。该组织主要关注与核工业有关的信息和科学研究	2023-10-17	保留
181	ProjectSauron,Sauron,Strider,Project Sauron,APT-C-16,Sauron	索伦之眼	中国、俄罗斯	通过漏洞攻击等方式对多个国家进行网络间谍活动，其中以窃取敏感信息为主	针对中国、俄罗斯等多个国家进行攻击活动，主要关注科研教育和军事领域	美国	2022-04-27		ProjectSauron 是一个顶级模块化网络间谍平台的名称，旨在通过结合多种渗透方法的隐形生存机制来实现和管理长期行动。技术细节显示了攻击者如何从其他非常高级的参与者那里学习，以避免重复他们的错误。因此，所有的工件都是根据给定的目标定制的，减少了它们作为任何其他受害者妥协指标的价值。通常，APT活动具有地理联系，旨在提取特定区域或特定行业的信息。这通常会导致该地区国家或世界各地的目标行业出现数起感染。有趣的是，ProjectSauron似乎只专注于几个国家，专注于通过危害目标区域内几乎所有可能触及的关	2023-10-17	保留
184	Sidewinder,APT-C-17,Rattlesnake,T-APT-04	响尾蛇	巴基斯坦、中国、阿富汗、尼泊尔、孟加拉	通过钓鱼网站，鱼叉攻击等方式窃取国家机密信息，具有强烈的政治背景	针对巴基斯坦、中国、阿富汗、尼泊尔、孟加拉等国家攻击，窃取政府外交、国防军事、高等教育机构等领域的机密信息	印度	2022-04-27		响尾蛇是一个疑似印度威胁演员组织，至少自2012年以来一直很活跃。据观察，他们的目标是整个亚洲的政府、军队和商业实体，主要集中在巴基斯坦、中国、尼泊尔和阿富汗。	2023-10-17	保留
187	Arid Viper,Desert Falcon,APT-C-23,AridViper,desertfalcons,operation_arid_viper,twotailedscorpion,apt-q-63,Desert Falcons,Big Bang,BigBang,Mantis,apt_aridviper	双尾蝎	中国、巴勒斯坦	通过钓鱼邮件、鱼叉攻击、水坑攻击窃取目标信息或向特定目标人群进行攻击	针对巴勒斯坦的教育机构、军事机构等重要领域进行有组织、有计划、有针对性的长时间不间断攻击		2022-04-27		AridViper是一个针对中东地区相关国家的教育机构、军事机构等重要领域进行网络间谍活动，以窃取敏感信息为主的网络攻击组织。攻击平台主要包括 Windows 与 Android，最早的攻击活动可追溯到2016年。 2020年2月16日，以色列国防军IDF网站称，他们发现哈马斯的一系列网络攻击行动，通过制作了多个聊天工具相关的钓鱼网站，利用社交媒体伪装成美女诱骗以色列国防军士兵下载安装伪装成聊天工具的间谍软件，从而窃取以色列国防军的隐私信息，并最终认为AridViper组织有关	2023-10-17	保留
190	NICKELGLADSTONE,NewRomanicCyberArmyTeam,BeagleBoyz,OperationAppleJeus,HiddenCobra,HastatiGroup,COVELLITE,Subgroup,Bluenoroff,OperationDarkSeoul,DarkSeoul,NickelAcademy,GuardiansofPeace,ZINC,Bureau121,Unit121,WhoisHackingTeam,LazarusGroup,APT-C-26,APT-Q-1	Lazarus	中国,韩国,美国,墨西哥,巴西,智利,尼日利亚,加蓬,印度,中国台湾,马来西亚	通过鱼叉攻击,社工攻击,水坑攻击针对特定目标进行长期的持续性网络攻击	针对韩国、美国，攻击目的主要以窃取资金为主，对银行、比特币交易所等金融机构及个人实施定向攻击	朝鲜	2022-04-27		Lazarus组织被认为是朝鲜人民军121局背景下的APT组织（Bureau 121），其主要动机是经济利益。CrowdStrike将其命名为STARDUST CHOLLIMA，CrowdStrike将与朝鲜相关组织命名为* CHOLLIMA。 该组织使用邮件鱼叉攻击和水坑攻击，在攻击过程会利用系统破坏或勒索软件干扰事件的分析，利用SMB协议漏洞或相关蠕虫工具实现横向移动和载荷投放。该组织使用的工具包括DDoS botnets, keyloggers, RATs，wiper malware，使用的恶意代码	2023-10-17	保留
