id	alias	attack_country	attack_means	attack_target	belong_country	create_time	creation_date	family	note	update_time	apts	status	system_tool	system_type	threat_type
5263	win.alpc_lpe					NULL		AlpcLpe	Windows被曝出ALPC提权0day漏洞（CVE-2018-8440），它通过高级本地过程调用(ALPC)函数中SchRpcSetSecurity函数无法正确检查用户权限的缺陷，获得本地权限提升(LPE)来执行恶意代码。	NULL		保留	\0	win	木马
5264	win.alphabet_ransomware					NULL		AlphabetRansomware		NULL		保留	\0	win	
5265	win.alphalocker					NULL		AlphaLocker	一种名为 AlphaLocker 的新型勒索软件，由网络犯罪分子为网络犯罪分子构建。 与勒索软件即服务 (RaaS) 的所有化身一样，几乎任何想要进入勒索软件业务的人都可以购买和启动 AlphaLocker 恶意软件程序。 AlphaLocker 与其他形式的 RaaS 的不同之处在于其相对便宜的成本。 只需 65 美元的比特币即可购买勒索软件	NULL		保留	\0	win	勒索
5266	win.alphanc					NULL		Alphanc	WannaCry使用了Alphanc木马进行投放分发，而该恶意程序是与Lazarus有关的Duuzer后门的一个改良版本	NULL	Lazarus Group	保留	\0	win	木马
5267	win.alreay					NULL		Alreay		NULL	Lazarus Group	保留	\0	win	
5268	tdl,tdss,wowlik,win.alureon,pihar,olmarik,Alureon!rfn					NULL		Alureon	Alureon 是一种木马和引导工具包，旨在通过拦截系统的网络流量并搜索以下内容来窃取数据：银行用户名和密码。	2023-01-13		保留	\0	win	窃密
5269	win.amadey					NULL		Amadey	Amadey 是一个僵尸网络，于 2018 年 10 月左右出现，在俄语黑客论坛上以 500 美元左右的价格出售。 它定期向其 C2 服务器发送有关系统和安装的 AV 软件的信息，并轮询以接收来自它的订单。 它的主要功能是它可以为受恶意软件攻击的所有或特定目标计算机加载其他有效负载（称为“任务”）。	NULL		保留	\0	win	僵尸网络
5270	apk.amplebot,blackrock					NULL		AmpleBot	该恶意软件最初被命名为 BlackRock，后来更名为 AmpleBot。	NULL		保留	\0	apk	窃密
5271	win.amtsol,adupihan					NULL		Amtsol	MT SOL 是英特尔 Management Engine(ME) 的一部分，运行独立的操作系统，能在主机关闭的情况下工作，它被广泛批评是安全隐患或后门。	NULL	PLATINUM	保留	\0	win	正常软件
5272	win.anatova_ransom					NULL		AnatovaRansom	Anatova 是一个勒索软件家族，其目标是加密所有文件，然后要求受害者付款。 它还将检查网络共享是否已连接，并将加密这些共享上的文件。 该代码还准备支持模块化扩展。	NULL		保留	\0	win	勒索
5273	toddler,apk.anatsa,teabot					NULL		Anatsa	针对荷兰的用户部署一种新的威胁性高深的Android银行木马。研究人员检测到部署此威胁的间谍活动后，将该威胁命名为Anatsa恶意软件。	NULL		保留	\0	apk	窃密
5274	anchor_dns,win.anchor					NULL		Anchor	Anchor 是一系列后门恶意软件之一，至少自 2018 年以来，它就与 TrickBot 一起用于选定的知名目标。	NULL	WIZARD SPIDER	保留	\0	win	远控
5275	elf.anchor_dns					NULL		AnchorDNS	Anchor威胁被用于充当后门特洛伊木马，并依靠DNS协议与其Command and Control服务器进行通信。	NULL		保留	\0	elf	远控
5276	win.anchormail					NULL		AnchorMail	IBM Security X-Force发现了TrickBot恶意软件后门AnchorDNS的改进版本，被称为新的升级变体AnchorMail。"AnchorMail"是使用基于电子邮件的[命令和控制]服务器，通过TLS使用SMTP和IMAP协议与之通信。	NULL		保留	\0	win	远控
5277	android.android/addisplay.ashas					NULL		AdDisplayAshas	Android/AdDisplay.Ashas 是一种广告软件变体，已通过 Google Play 商店中的多个应用分发。	NULL		保留	\0	android	正常软件
5278	android.android/chuli.a					NULL		ChuliA	Android/Chulia 是一种 Android 恶意软件，通过带有附件的鱼叉式网络钓鱼电子邮件发送给激进组织。	NULL		保留	\0	android	木马
5279	androidos/mallocker.b					NULL		AndroidOSMalLockerB	AndroidOS/MalLocker.B 是针对 Android 设备的勒索软件系列的变体。 它通过在所有其他窗口上显示包含赎金记录的屏幕来防止用户与 UI 交互。	NULL		保留	\0		勒索
5280	android.androidos_anserver.a					NULL		AndroidosAnserverA	ANDROIDOS_ANSERVER.A 是独一无二的 Android 恶意软件，因为它使用博客网站中的加密内容进行命令和控制。	NULL		保留	\0	android	木马
5281	gamarue,win.andromeda,b106-gamarue,b67-ss-gamarue,b66,androm					NULL		Andromeda	Andromeda 是市场上最大的僵尸网络之一，自 2011 年以来一直存在。犯罪分子使用它来发布多个恶意软件系列，其中包括 Dridex 银行木马病毒和 GamaPoS 恶意软件等。	2023-01-11	Operation C-Major	保留	\0	win	僵尸网络
5282	win.andromut,gelup					NULL		Andromut	黑客组织“TA505”正在部署一种新的下载恶意软件。 名为“AndroMut”的恶意软件会下载名为“FlawedAmmyy”的远程访问木马 (RAT)。	NULL	TA505	保留	\0	win	远控
5283	apk.androrat					NULL		AndroRat	Androrat 是一个远程管理工具，客户端使用 Java Android 开发，服务器使用 Java/Swing 开发。 Androrat 这个名字是 Android 和 RAT（远程访问工具）的混合体。 它是在一个 4 人的团队中为一个大学项目开发的。 该应用程序的目标是远程控制 android 系统并从中检索信息。	NULL		保留	\0	apk	远控
5284	uppercut,lena,win.anel					NULL		Anel		NULL	Stone Panda	保留	\0	win	
5285	elf.angryrebel,ghostrat,Noodle RAT,Nood RAT					NULL		AngryRebel		2024-06-24	APT 22	保留	\0	elf	
5286	anishell,php.anishell					NULL		AniShell	Ani-Shell 是一个简单的 PHP shell，具有一些独特的功能，如 Mass Mailer、简单的 Web 服务器 Fuzzer、Dosser、Back Connect、Bind Shell、Back Connect、Auto Rooter 等。	NULL		保留	\0	php	正常软件
5287	php.antak					NULL		Antak	Antak 是一个使用 PowerShell 用 ASP.Net 编写的 webshell。	NULL	APT39, Anunak	保留	\0	php	木马
5288	win.antefrigus					NULL		Antefrigus	要求以比特币付款的勒索软件。	NULL		保留	\0	win	勒索
5289	latinus,win.antilam					NULL		Antilam	AntiLam.20木马病毒是一个秘密的弹性攻击程序，能够允许非法访问被病毒感染的计算机	NULL		保留	\0	win	木马
5290	android.bankspy,bankbot,android.bankbot,apk.anubis,win.anubis,anubisstealer,AnubisBotnet,android_anubis,android_bankbot,android_generic					NULL		Anubis	Anubis 是 Android 恶意软件，最初用于网络间谍活动，现已被改造为银行木马。	2023-07-07		保留	\0	apk,win	窃密
5291	win.anubis_loader,kraken,pepega					NULL		AnubisLoader	一个用 Go 编写的加载器，至少从 2021 年 10 月开始被 ZeroFox 跟踪。 最初命名为 Kraken，并于 2022 年 2 月更名为 Anubis。	NULL		保留	\0	win	窃密
5292	apk.anubisspy					NULL		Anubisspy	Anubis木马功能强大，自身结合了钓鱼、远控、勒索木马的功能。Anubis通过仿冒各种应用诱骗用户安装使用，当软件被激活后，会展现给用户一个仿冒的钓鱼页面，从而获取用户敏感信息，如银行账号密码、个人身份信息等。	NULL	Sphinx (APT-C-15)	保留	\0	apk	勒索、远控
5293	win.apocalipto					NULL		Apocalipto		NULL		保留	\0	win	
5294	win.apocalypse_ransom					NULL		ApocalypseRansom	勒索软件解密工具	NULL		保留	\0	win	勒索
5295	win.apostle					NULL		Apostle	疑似伊朗威胁演员 Agrius 使用的恶意软件从擦除器变成了勒索软件。	NULL		保留	\0	win	勒索
5296	osx.applejeus,win.applejeus					NULL		Applejeus	AppleJeus 是最初于 2018 年发现并嵌入木马加密货币应用程序的下载器系列。 AppleJeus 已被 Lazarus Group 使用，针对能源、金融、政府、工业、技术和电信行业的公司，以及包括美国、英国、韩国、澳大利亚、巴西、新西兰和俄罗斯在内的多个国家/地区的公司。 AppleJeus 已被用于分发 FALLCHILL RAT。	NULL	Lazarus Group	保留	\0	osx,win	下载器
5297	win.appleseed,jambog					NULL		AppleSeed	AppleSeed 是一个后门，Kimsuky 至少自 2021 年以来一直使用它来攻击韩国政府、学术和商业目标。	NULL	Kimsuky	保留	\0	win	远控
5298	py.archivist					NULL		Archivist		NULL		保留	\0	py	
5299	win.ardamax					NULL		Ardamax	Ardamax Keylogger是一款能够获取使用你电脑的用户的活跃度，记录键盘敲击次数的软件	NULL		保留	\0	win	正常软件
5300	win.arefty					NULL		Arefty		NULL		保留	\0	win	
5301	py.ares,AresRAT					NULL		Ares	Ares 是一只 Python RAT。	NULL		保留	\0	py	正常软件
5302	win.ariabody,aria-body					NULL		AriaBody	Aria-body 是 Naikon 自 2017 年左右开始使用的自定义后门。	NULL	Naikon	保留	\0	win	远控
5303	win.aridgopher					NULL		Aridgopher	该恶意软件是 Micropsia 的 Go 编写变体，根据 DeepInstinct 的说法，它仍在开发中。	NULL	AridViper	保留	\0	win	木马
5304	win.aridhelper					NULL		AridHelper	与 AridGopher 相关联的辅助恶意软件，如果在目标系统上发现“360 全面安全”，它将提供一种替代的持久性机制。	NULL	AridViper	保留	\0	win	木马
5305	win.arik_keylogger,aaronkeylogger					NULL		ArikKeyLogger		NULL		保留	\0	win	
5306	arkeistealer,win.arkei_stealer,Arkei Stealer,Arkei					NULL		ArkeiStealer	Arkei 是 2018 年 5 月左右出现的窃取程序。它收集有关浏览器（保存的密码和自动填充表单）、加密货币钱包的数据，并窃取与攻击者定义的模式匹配的文件。 然后它会泄露上传到攻击者面板的 zip 文件中的所有内容。 后来，它被分叉并用作创建 Vidar Stealer 的基础。	NULL		保留	\0	win	窃密
5307	arp.exe,win.arp					NULL		Arp	Arp 显示有关系统地址解析协议 (ARP) 缓存的信息。	NULL		保留		win	正常软件
5308	win.ars_loader					NULL		ArsLoader	ARS Loader，也称为 ARS VBS Loader，是用 Visual Basic 脚本编写的，其主要目的是通过不同的可用命令来控制受感染的机器，充当远程访问木马 (RAT)。 它的代码基于另一种 Visual Basic Script 恶意软件 ASPC，它同时似乎基于 SafeLoader。	NULL		保留	\0	win	远控
5309	win.artfulpie					NULL		Artfulpie	被称为ARTFULPIE的恶意软件是一种植入程序，旨在从硬编码的URL中提取DLL，然后将其加载到内存中并执行	NULL	Lazarus Group	保留	\0	win	木马
5310	win.artra					NULL		Artra		NULL		保留	\0	win	
5311	apk.asacub,trojan-sms.androidos.smaps					NULL		Asacub	Asacub 是一种银行木马，它试图从受害者的银行账户中窃取资金。 它试图通过从受感染设备通过 SMS 消息发起电汇来实现这一点。	NULL		保留	\0	apk	窃密
5312	win.ascentloader					NULL		AscentLoader		NULL		保留	\0	win	
5313	apk.ashas					NULL		Ashas	该应用程序包含风险代码，运行后联网上传用户手机基本信息，隐藏其图标并创建 快捷方式，私自加载并推送流氓广告	NULL		保留	\0	apk	木马
5314	win.aspc					NULL		Aspc		NULL		保留	\0	win	
5315	badsrc,win.asprox,aseljo					NULL		Asprox	自2008年发现以来，Asprox僵尸网络已参与各种网站上的多次备受瞩目的攻击，以进行传播恶意软件	NULL		保留	\0	win	僵尸网络
5316	aspxtool,win.aspxspy					NULL		AspxSpy	ASPXSpy 是一个 Web 外壳。 它已被 Threat Group-3390 参与者修改以创建 ASPXTool 版本。	NULL		保留	\0	win	木马
5317	win.asruex					NULL		Asruex	Asruex通过带有PowerShell下载脚本的快捷方式文件感染系统，并通过可移动驱动器和网络驱动器进行传播	NULL	DarkHotel	保留	\0	win	木马
5318	guildma,win.astaroth					NULL		Astaroth	Astaroth 于 2017 年首次在野外被发现，是一种高度流行的、窃取信息的拉丁美洲银行木马。 它是用 Delphi 编写的，具有一些创新的执行和攻击技术。 最初，这种恶意软件变种针对的是巴西用户，但 Astaroth 现在针对的是北美和欧洲的用户。	NULL		保留	\0	win	窃密
5319	asyncrat,win.asyncrat					NULL		AsyncRat	AsyncRAT 是一种远程访问工具 (RAT)，旨在通过安全的加密连接远程监控和控制其他计算机。 它是一个开源远程管理工具，但也可能被恶意使用，因为它提供了键盘记录、远程桌面控制等功能，以及许多其他可能对受害者计算机造成损害的功能。 此外，AsyncRAT 可以通过各种方法交付，例如鱼叉式网络钓鱼、恶意广告、漏洞利用工具包和其他技术。	NULL		保留	\0	win	远控
5320	win.at,at.exe					NULL		At	at 用于安排系统上的任务在指定的日期或时间运行。	NULL	BRONZE BUTLER,Night Dragon,Leviathan,GALLIUM	保留		win	正常软件
5321	apk.atank					NULL		Atank	根据 Lukas Stefanko 的说法，这是 2018 年在 Github 上发现的开源加密勒索软件。它可以加密/解密文件（AES，密钥：32 个随机字符，发送到 C&C），使用电子邮件作为联系点，但会删除所有文件 24 小时后或重新启动后。	NULL		保留	\0	apk	勒索
5322	win.athenago,Athena					NULL		AthenaGo	它似乎是一个远程访问木马(RAT)，得到攻击者的指令后，还可以在受感染系统上下载并运行. 其他二进制文件	NULL		保留	\0	win	远控
5323	win.ati_agent					NULL		AtiAgent		NULL	APT 29	保留	\0	win	
5324	win.atmii					NULL		Atmii	全研究人员发现了一种名叫ATMii的新型ATM恶意软件，这种恶意软件主要针对的是安装了Windows 7以及Windows Vista的ATM取款机	NULL		保留	\0	win	木马
5325	win.atmitch					NULL		Atmitch	卡巴斯基实验室研究人员发现了一种名为“ATMitch”的新型无文件ATM恶意软件，该恶意软件可让攻击者非法取款，然后可自行删除记录	NULL		保留	\0	win	木马
5326	win.atmosphere					NULL		Atmosphere	一款安卓应用程序	NULL	Silence group	保留	\0	win	正常软件
5327	win.atmspitter					NULL		AtmSpitter	ATMSpitter 系列由命令行工具组成，旨在通过对 CSCWCNG.dll 或 MFSXFS.dll 的函数调用来控制 ATM 的自动提款机。这两个库都是合法的 Windows 驱动程序，用于与不同 ATM 模型的组件进行交互。	NULL	Cobalt	保留	\0	win	木马
